No;Reason;Date;Time;RPM;PF;LChr;IL1;IL2;IL3;Mfrq;Vm1;Vm2;Vm3;Vm12;Vm23;Vm31;VBat;OilP;EngT;FLvl;AIN4;BIN;BOUT;Gfrq;Vg1;Vg2;Vg3;Vg12;Vg23;Vg31;Q;Pwr;Mode
-100;Not Ready;23.06.2002;07:37:59;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-101;SetpointChange;23.06.2002;07:37:58;T=CELL 1 CON(8315)=0
-102;Password set;23.06.2002;07:37:55;T=CELL 1 
-103;Ready;23.06.2002;06:53:10;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,9;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-104;SetpointChange;23.06.2002;06:53:09;T=INT CON(8315)=1
-105;Wrn MCB Fail;23.06.2002;06:51:00;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,8;3,7;49;53;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-106;Not Ready;23.06.2002;06:50:54;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,8;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-107;Switched On;23.06.2002;06:50:53;System started
-108;Mains Underfrequency;23.06.2002;06:50:41;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;20,7;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-109;Wrn MCB Fail;23.06.2002;06:43:54;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;50;52;#####;00000000 00000000;00010000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-110;Not Ready;23.06.2002;06:43:49;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,7;3,7;50;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;OFF
-111;SetpointChange;23.06.2002;06:43:48;T=CELL 1 CON(8315)=0
-112;Ready;22.06.2002;07:22:11;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,1;3,7;49;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-113;Fault reset;22.06.2002;07:22:11;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,1;3,7;49;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-114;Terminal;22.06.2002;07:22:11;T=CELL 1 FaultReset command
-115;Not Ready;22.06.2002;07:21:37;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,1;3,7;49;53;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-116;GCB Opened;22.06.2002;07:21:35;355;0,00; ;0;0;0;49,9;233;0;0;0;0;0;21,2;3,7;49;53;#####;00000000 00000000;00000010 00000000;13,1;165;0;0;0;0;0;0;0;MAN
-117;Gen-set Stop;22.06.2002;07:21:35;369;0,00; ;0;0;0;50,0;235;0;0;0;0;0;21,2;3,7;49;53;#####;00000000 00000000;01100100 00000000;13,6;170;0;0;0;0;0;0;0;MAN
-118;Sd Underspeed;22.06.2002;07:21:35;369;0,00; ;0;0;0;50,0;235;0;0;0;0;0;21,2;3,7;49;53;#####;00000000 00000000;01100100 00000000;13,6;170;0;0;0;0;0;0;0;MAN
-119;Running;22.06.2002;07:21:17;1618;0,00; ;0;0;0;50,0;233;0;0;0;0;0;21,1;3,7;49;52;#####;00000000 00000000;01000000 00000000;53,9;232;0;0;0;0;0;0;0;MAN
-120;Idle Run;22.06.2002;07:21:05;516;0,00; ;0;0;0;50,1;227;0;0;0;0;0;21,1;3,7;49;52;#####;00000000 00000000;01000000 00000000;0,0;186;0;0;0;0;0;0;0;MAN
-121;Manual Start;22.06.2002;07:21:03;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,1;3,7;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-122;Terminal;22.06.2002;07:21:03;T=CELL 1 Start command
-123;Ready;22.06.2002;07:07:36;0;0,00; ;0;0;0;50,0;232;0;0;0;0;0;21,1;3,6;49;52;#####;00000000 00000000;00000000 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-124;Switched On;22.06.2002;07:07:35;System started
-125;Mains Underfrequency;22.06.2002;07:07:27;0;0,00; ;0;0;0;0,0;0;0;0;0;0;0;20,4;3,7;50;54;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-126;SetpointChange;22.06.2002;07:06:59;T=CELL 1 CON(24364)=airgate.comap.cz
-127;SetpointChange;22.06.2002;07:06:53;T=CELL 1 CON(24311)=airgate.comap.cz:44445
-128;Not Ready;21.06.2002;05:19:31;0;0,00; ;0;0;0;50,0;231;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;00000010 00000000;0,0;0;0;0;0;0;0;0;0;MAN
-129;GCB Opened;21.06.2002;05:19:28;338;0,00; ;0;0;0;50,0;223;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;00000010 00000000;12,5;160;0;0;0;0;0;0;0;MAN
-130;Gen-set Stop;21.06.2002;05:19:28;352;0,00; ;0;0;0;50,0;232;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;01100100 00000000;13,0;164;0;0;0;0;0;0;0;MAN
-131;Sd Underspeed;21.06.2002;05:19:28;352;0,00; ;0;0;0;50,0;229;0;0;0;0;0;20,5;3,7;50;52;#####;00000000 00000000;01100100 00000000;13,0;164;0;0;0;0;0;0;0;MAN
